ligando,actividad
CS1,1
CS2,1
CS3,1
CS4,1
CS5,0
CS9,1
CS10,1
CS11,1
CS12,1
CS13,1
CS14,1
CS15,1
CS16,1
CS17,1
CS18,1
CS19,1
CS20,1
CS241,1
CS242,1
CS244,1
CS245,1
CS246,1
CS247,1
CS248,1
CS260,1
CS261,1
CS262,1
CS27,0
CS32,0
CS33,0
CS36,0
CS37,0
CS38,0
CS41,0
CS47,0
CS49,0
CS53,0
CS55,0
CS58,0
CS59,0
CS64,0
CS66,0
CS67,0
CS68,0
CS69,0
CS71,0
CS72,0
CS73,0
CS74,0
CS76,0
CS77,0
CS78,0
CS80,0
CS81,0
CS82,0
CS85,0
CS92,0
CS95,0
CS96,0
CS98,0
CS100,0
CS102,0
CS104,0
CS105,0
CS109,0
CS110,0
CS112,0
CS115,0
CS116,0
CS119,0
CS29,0
CS31,0
CS34,0
CS46,0
CS65,0
CS70,0
CS93,0
CS130,0
CS140,0
CS142,0
CS148,0
CS150,0
CS152,0
CS154,0
CS160,0
CS165,0
CS166,0
CS169,0
CS173,0
CS175,0
CS177,0
CS184,0
CS188,0
CS189,0
CS196,0
CS197,0
CS198,0
CS200,0
CS202,0
CS204,0
CS208,0
CS209,0
CS213,0
CS222,0
CS230,0
CS231,0
CS232,0
CS234,0
CS236,0
CS237,0
CS238,0
